"treatment","measurement","time","dens","temp","group"
"C",47,1093.8,0,20,"cil"
"C",47,1093.8,0,20,"cil"
"C",47,1093.8,0,20,"cil"
"C",47,1093.8,0,20,"cil"
"C",47,1093.8,0,20,"cil"
"C",47,1093.8,0,20,"cil"
"D",47,1093.8,0,20,"cil"
"D",47,1093.8,0,20,"cil"
"D",47,1093.8,0,20,"cil"
"A",48,1117.3,0,20,"cil"
"A",48,1117.3,0,20,"cil"
"A",48,1117.3,0,20,"cil"
"B",48,1117.3,0,20,"cil"
"B",48,1117.3,0,20,"cil"
"B",48,1117.3,0,20,"cil"
"C",48,1117.3,0,20,"cil"
"C",48,1117.3,0,20,"cil"
"C",48,1117.3,0,20,"cil"
"C",48,1117.3,0,20,"cil"
"C",48,1117.3,0,20,"cil"
"C",48,1117.3,0,20,"cil"
"D",48,1117.3,0,20,"cil"
"D",48,1117.3,0,20,"cil"
"D",48,1117.3,0,20,"cil"
"D",48,1117.3,0,20,"cil"
"D",48,1117.3,0,20,"cil"
"A",49,1144.8,0,20,"cil"
"A",49,1144.8,0,20,"cil"
"A",49,1144.8,0,20,"cil"
"A",1,0,0,25,"cil"
"A",2,19,0,25,"cil"
"A",2,19,0,25,"cil"
"A",2,19,0,25,"cil"
"A",3,42.5,0,25,"cil"
"A",3,42.5,0,25,"cil"
"A",3,42.5,0,25,"cil"
"B",3,42.5,0,25,"cil"
"B",3,42.5,0,25,"cil"
"B",3,42.5,0,25,"cil"
"B",3,42.5,0,25,"cil"
"C",3,42.5,0,25,"cil"
"C",3,42.5,0,25,"cil"
"C",3,42.5,0,25,"cil"
"D",3,42.5,0,25,"cil"
"D",3,42.5,0,25,"cil"
"D",3,42.5,0,25,"cil"
"D",3,42.5,0,25,"cil"
"D",3,42.5,0,25,"cil"
"A",4,69.5,0,25,"cil"
"A",4,69.5,0,25,"cil"
"A",4,69.5,0,25,"cil"
"B",4,69.5,0,25,"cil"
"B",4,69.5,0,25,"cil"
"B",4,69.5,0,25,"cil"
"B",4,69.5,0,25,"cil"
"C",4,69.5,0,25,"cil"
"C",4,69.5,0,25,"cil"
"C",4,69.5,0,25,"cil"
"C",4,69.5,0,25,"cil"
"C",4,69.5,0,25,"cil"
"C",4,69.5,0,25,"cil"
"D",4,69.5,0,25,"cil"
"D",4,69.5,0,25,"cil"
"D",4,69.5,0,25,"cil"
"D",4,69.5,0,25,"cil"
"D",4,69.5,0,25,"cil"
"D",4,69.5,0,25,"cil"
"A",5,91,0,25,"cil"
"A",5,91,0,25,"cil"
"A",5,91,0,25,"cil"
"B",5,91,0,25,"cil"
"B",5,91,0,25,"cil"
"B",5,91,0,25,"cil"
"B",5,91,0,25,"cil"
"B",5,91,0,25,"cil"
"C",5,91,0,25,"cil"
"C",5,91,0,25,"cil"
"C",5,91,0,25,"cil"
"C",5,91,0,25,"cil"
"C",5,91,0,25,"cil"
"D",5,91,0,25,"cil"
"D",5,91,0,25,"cil"
"D",5,91,0,25,"cil"
"D",5,91,0,25,"cil"
"D",5,91,0,25,"cil"
"A",6,115.5,0,25,"cil"
"A",6,115.5,0,25,"cil"
"A",6,115.5,0,25,"cil"
"B",6,115.5,0,25,"cil"
"B",6,115.5,0,25,"cil"
"B",6,115.5,0,25,"cil"
"B",6,115.5,0,25,"cil"
"B",6,115.5,0,25,"cil"
"B",6,115.5,0,25,"cil"
"C",6,115.5,0,25,"cil"
"C",6,115.5,0,25,"cil"
"C",6,115.5,0,25,"cil"
"C",6,115.5,0,25,"cil"
"D",6,115.5,0,25,"cil"
"D",6,115.5,0,25,"cil"
"D",6,115.5,0,25,"cil"
"D",6,115.5,0,25,"cil"
"A",7,137,0,25,"cil"
"A",7,137,0,25,"cil"
"A",7,137,0,25,"cil"
"B",7,137,0,25,"cil"
"C",7,137,0,25,"cil"
"C",7,137,0,25,"cil"
"D",7,137,0,25,"cil"
"A",8,161.5,0,25,"cil"
"A",8,161.5,0,25,"cil"
"A",8,161.5,0,25,"cil"
"B",8,161.5,0,25,"cil"
"B",8,161.5,0,25,"cil"
"B",8,161.5,0,25,"cil"
"B",8,161.5,0,25,"cil"
"C",8,161.5,0,25,"cil"
"C",8,161.5,0,25,"cil"
"C",8,161.5,0,25,"cil"
"A",9,185,0,25,"cil"
"A",9,185,0,25,"cil"
"A",9,185,0,25,"cil"
"B",9,185,0,25,"cil"
"B",9,185,0,25,"cil"
"B",9,185,0,25,"cil"
"C",9,185,0,25,"cil"
"C",9,185,0,25,"cil"
"C",9,185,0,25,"cil"
"D",9,185,0,25,"cil"
"A",10,209.25,0,25,"cil"
"A",10,209.25,0,25,"cil"
"A",10,209.25,0,25,"cil"
"B",10,209.25,0,25,"cil"
"C",10,209.25,0,25,"cil"
"D",10,209.25,0,25,"cil"
"A",11,233,0,25,"cil"
"A",11,233,0,25,"cil"
"A",11,233,0,25,"cil"
"B",11,233,0,25,"cil"
"B",11,233,0,25,"cil"
"B",11,233,0,25,"cil"
"B",11,233,0,25,"cil"
"C",11,233,0,25,"cil"
"C",11,233,0,25,"cil"
"D",11,233,0,25,"cil"
"D",11,233,0,25,"cil"
"A",12,268.5,0,25,"cil"
"A",12,268.5,0,25,"cil"
"A",12,268.5,0,25,"cil"
"B",12,268.5,0,25,"cil"
"B",12,268.5,0,25,"cil"
"B",12,268.5,0,25,"cil"
"B",12,268.5,0,25,"cil"
"C",12,268.5,0,25,"cil"
"C",12,268.5,0,25,"cil"
"D",12,268.5,0,25,"cil"
"D",12,268.5,0,25,"cil"
"A",13,287,0,25,"cil"
"A",13,287,0,25,"cil"
"A",13,287,0,25,"cil"
"B",13,287,0,25,"cil"
"B",13,287,0,25,"cil"
"B",13,287,0,25,"cil"
"B",13,287,0,25,"cil"
"B",13,287,0,25,"cil"
"B",13,287,0,25,"cil"
"C",13,287,0,25,"cil"
"C",13,287,0,25,"cil"
"C",13,287,0,25,"cil"
"C",13,287,0,25,"cil"
"D",13,287,0,25,"cil"
"D",13,287,0,25,"cil"
"D",13,287,0,25,"cil"
"D",13,287,0,25,"cil"
"A",14,304.3,0,25,"cil"
"A",14,304.3,0,25,"cil"
"A",14,304.3,0,25,"cil"
"B",14,304.3,0,25,"cil"
"B",14,304.3,0,25,"cil"
"B",14,304.3,0,25,"cil"
"C",14,304.3,0,25,"cil"
"C",14,304.3,0,25,"cil"
"C",14,304.3,0,25,"cil"
"C",14,304.3,0,25,"cil"
"C",14,304.3,0,25,"cil"
"D",14,304.3,0,25,"cil"
"D",14,304.3,0,25,"cil"
"D",14,304.3,0,25,"cil"
"D",14,304.3,0,25,"cil"
"A",15,329.3,0,25,"cil"
"A",15,329.3,0,25,"cil"
"A",15,329.3,0,25,"cil"
"B",15,329.3,0,25,"cil"
"B",15,329.3,0,25,"cil"
"B",15,329.3,0,25,"cil"
"C",15,329.3,0,25,"cil"
"D",15,329.3,0,25,"cil"
"D",15,329.3,0,25,"cil"
"D",15,329.3,0,25,"cil"
"D",15,329.3,0,25,"cil"
"D",15,329.3,0,25,"cil"
"A",16,353.3,0,25,"cil"
"A",16,353.3,0,25,"cil"
"A",16,353.3,0,25,"cil"
"B",16,353.3,0,25,"cil"
"B",16,353.3,0,25,"cil"
"C",16,353.3,0,25,"cil"
"C",16,353.3,0,25,"cil"
"D",16,353.3,0,25,"cil"
"D",16,353.3,0,25,"cil"
"D",16,353.3,0,25,"cil"
"D",16,353.3,0,25,"cil"
"A",17,377.3,0,25,"cil"
"A",17,377.3,0,25,"cil"
"A",17,377.3,0,25,"cil"
"C",17,377.3,0,25,"cil"
"C",17,377.3,0,25,"cil"
"D",17,377.3,0,25,"cil"
"D",17,377.3,0,25,"cil"
"D",17,377.3,0,25,"cil"
"A",18,401.3,0,25,"cil"
"A",18,401.3,0,25,"cil"
"A",18,401.3,0,25,"cil"
"A",19,425.3,0,25,"cil"
"A",19,425.3,0,25,"cil"
"A",19,425.3,0,25,"cil"
"C",19,425.3,0,25,"cil"
"A",20,449.8,0,25,"cil"
"A",20,449.8,0,25,"cil"
"A",20,449.8,0,25,"cil"
"D",20,449.8,0,25,"cil"
"A",21,472.3,0,25,"cil"
"A",21,472.3,0,25,"cil"
"A",21,472.3,0,25,"cil"
"C",21,472.3,0,25,"cil"
"D",21,472.3,0,25,"cil"
"D",21,472.3,0,25,"cil"
"A",22,497.8,0,25,"cil"
"A",22,497.8,0,25,"cil"
"A",22,497.8,0,25,"cil"
"B",22,497.8,0,25,"cil"
"C",22,497.8,0,25,"cil"
"A",23,520.8,0,25,"cil"
"A",23,520.8,0,25,"cil"
"A",23,520.8,0,25,"cil"
"A",24,544.8,0,25,"cil"
"A",24,544.8,0,25,"cil"
"A",24,544.8,0,25,"cil"
"B",24,544.8,0,25,"cil"
"D",24,544.8,0,25,"cil"
"D",24,544.8,0,25,"cil"
"A",25,570.3,0,25,"cil"
"A",25,570.3,0,25,"cil"
"A",25,570.3,0,25,"cil"
"B",25,570.3,0,25,"cil"
"B",25,570.3,0,25,"cil"
"B",25,570.3,0,25,"cil"
"C",25,570.3,0,25,"cil"
"D",25,570.3,0,25,"cil"
"D",25,570.3,0,25,"cil"
"D",25,570.3,0,25,"cil"
"D",25,570.3,0,25,"cil"
"A",26,600.8,0,25,"cil"
"A",26,600.8,0,25,"cil"
"A",26,600.8,0,25,"cil"
"B",26,600.8,0,25,"cil"
"C",26,600.8,0,25,"cil"
"D",26,600.8,0,25,"cil"
"D",26,600.8,0,25,"cil"
"D",26,600.8,0,25,"cil"
"D",26,600.8,0,25,"cil"
"D",26,600.8,0,25,"cil"
"A",27,625.8,0,25,"cil"
"A",27,625.8,0,25,"cil"
"A",27,625.8,0,25,"cil"
"B",27,625.8,0,25,"cil"
"B",27,625.8,0,25,"cil"
"C",27,625.8,0,25,"cil"
"C",27,625.8,0,25,"cil"
"D",27,625.8,0,25,"cil"
"D",27,625.8,0,25,"cil"
"D",27,625.8,0,25,"cil"
"D",27,625.8,0,25,"cil"
"A",28,640.3,0,25,"cil"
"A",28,640.3,0,25,"cil"
"A",28,640.3,0,25,"cil"
"C",28,640.3,0,25,"cil"
"C",28,640.3,0,25,"cil"
"D",28,640.3,0,25,"cil"
"D",28,640.3,0,25,"cil"
"D",28,640.3,0,25,"cil"
"D",28,640.3,0,25,"cil"
"D",28,640.3,0,25,"cil"
"A",29,670.3,0,25,"cil"
"A",29,670.3,0,25,"cil"
"A",29,670.3,0,25,"cil"
"B",29,670.3,0,25,"cil"
"C",29,670.3,0,25,"cil"
"C",29,670.3,0,25,"cil"
"C",29,670.3,0,25,"cil"
"C",29,670.3,0,25,"cil"
"C",29,670.3,0,25,"cil"
"D",29,670.3,0,25,"cil"
"D",29,670.3,0,25,"cil"
"D",29,670.3,0,25,"cil"
"D",29,670.3,0,25,"cil"
"D",29,670.3,0,25,"cil"
"A",30,689.8,0,25,"cil"
"A",30,689.8,0,25,"cil"
"A",30,689.8,0,25,"cil"
"C",30,689.8,0,25,"cil"
"C",30,689.8,0,25,"cil"
"C",30,689.8,0,25,"cil"
"C",30,689.8,0,25,"cil"
"C",30,689.8,0,25,"cil"
"D",30,689.8,0,25,"cil"
"D",30,689.8,0,25,"cil"
"D",30,689.8,0,25,"cil"
"D",30,689.8,0,25,"cil"
"A",31,714.3,0,25,"cil"
"A",31,714.3,0,25,"cil"
"A",31,714.3,0,25,"cil"
"B",31,714.3,0,25,"cil"
"B",31,714.3,0,25,"cil"
"B",31,714.3,0,25,"cil"
"B",31,714.3,0,25,"cil"
"C",31,714.3,0,25,"cil"
"C",31,714.3,0,25,"cil"
"C",31,714.3,0,25,"cil"
"C",31,714.3,0,25,"cil"
"C",31,714.3,0,25,"cil"
"C",31,714.3,0,25,"cil"
"D",31,714.3,0,25,"cil"
"D",31,714.3,0,25,"cil"
"D",31,714.3,0,25,"cil"
"D",31,714.3,0,25,"cil"
"A",32,738.8,0,25,"cil"
"A",32,738.8,0,25,"cil"
"A",32,738.8,0,25,"cil"
"B",32,738.8,0,25,"cil"
"C",32,738.8,0,25,"cil"
"C",32,738.8,0,25,"cil"
"C",32,738.8,0,25,"cil"
"C",32,738.8,0,25,"cil"
"C",32,738.8,0,25,"cil"
"C",32,738.8,0,25,"cil"
"D",32,738.8,0,25,"cil"
"D",32,738.8,0,25,"cil"
"D",32,738.8,0,25,"cil"
"D",32,738.8,0,25,"cil"
"D",32,738.8,0,25,"cil"
"D",32,738.8,0,25,"cil"
"A",33,763.8,0,25,"cil"
"A",33,763.8,0,25,"cil"
"A",33,763.8,0,25,"cil"
"B",33,763.8,0,25,"cil"
"B",33,763.8,0,25,"cil"
"B",33,763.8,0,25,"cil"
"B",33,763.8,0,25,"cil"
"C",33,763.8,0,25,"cil"
"C",33,763.8,0,25,"cil"
"C",33,763.8,0,25,"cil"
"C",33,763.8,0,25,"cil"
"C",33,763.8,0,25,"cil"
"C",33,763.8,0,25,"cil"
"D",33,763.8,0,25,"cil"
"D",33,763.8,0,25,"cil"
"D",33,763.8,0,25,"cil"
"A",34,787.8,0,25,"cil"
"A",34,787.8,0,25,"cil"
"A",34,787.8,0,25,"cil"
"B",34,787.8,0,25,"cil"
"B",34,787.8,0,25,"cil"
"B",34,787.8,0,25,"cil"
"B",34,787.8,0,25,"cil"
"B",34,787.8,0,25,"cil"
"B",34,787.8,0,25,"cil"
"C",34,787.8,0,25,"cil"
"C",34,787.8,0,25,"cil"
"C",34,787.8,0,25,"cil"
"C",34,787.8,0,25,"cil"
"C",34,787.8,0,25,"cil"
"D",34,787.8,0,25,"cil"
"D",34,787.8,0,25,"cil"
"D",34,787.8,0,25,"cil"
"D",34,787.8,0,25,"cil"
"D",34,787.8,0,25,"cil"
"D",34,787.8,0,25,"cil"
"A",35,813.8,0,25,"cil"
"A",35,813.8,0,25,"cil"
"A",35,813.8,0,25,"cil"
"B",35,813.8,0,25,"cil"
"B",35,813.8,0,25,"cil"
"C",35,813.8,0,25,"cil"
"C",35,813.8,0,25,"cil"
"C",35,813.8,0,25,"cil"
"C",35,813.8,0,25,"cil"
"D",35,813.8,0,25,"cil"
"D",35,813.8,0,25,"cil"
"D",35,813.8,0,25,"cil"
"D",35,813.8,0,25,"cil"
"D",35,813.8,0,25,"cil"
"A",36,834.3,0,25,"cil"
"A",36,834.3,0,25,"cil"
"A",36,834.3,0,25,"cil"
"B",36,834.3,0,25,"cil"
"B",36,834.3,0,25,"cil"
"C",36,834.3,0,25,"cil"
"C",36,834.3,0,25,"cil"
"C",36,834.3,0,25,"cil"
"D",36,834.3,0,25,"cil"
"D",36,834.3,0,25,"cil"
"D",36,834.3,0,25,"cil"
"D",36,834.3,0,25,"cil"
"D",36,834.3,0,25,"cil"
"D",36,834.3,0,25,"cil"
"A",37,857.8,0,25,"cil"
"A",37,857.8,0,25,"cil"
"A",37,857.8,0,25,"cil"
"B",37,857.8,0,25,"cil"
"C",37,857.8,0,25,"cil"
"C",37,857.8,0,25,"cil"
"C",37,857.8,0,25,"cil"
"C",37,857.8,0,25,"cil"
"C",37,857.8,0,25,"cil"
"D",37,857.8,0,25,"cil"
"D",37,857.8,0,25,"cil"
"D",37,857.8,0,25,"cil"
"D",37,857.8,0,25,"cil"
"D",37,857.8,0,25,"cil"
"A",38,881.3,0,25,"cil"
"A",38,881.3,0,25,"cil"
"A",38,881.3,0,25,"cil"
"B",38,881.3,0,25,"cil"
"B",38,881.3,0,25,"cil"
"C",38,881.3,0,25,"cil"
"C",38,881.3,0,25,"cil"
"C",38,881.3,0,25,"cil"
"C",38,881.3,0,25,"cil"
"C",38,881.3,0,25,"cil"
"C",38,881.3,0,25,"cil"
"D",38,881.3,0,25,"cil"
"D",38,881.3,0,25,"cil"
"D",38,881.3,0,25,"cil"
"D",38,881.3,0,25,"cil"
"D",38,881.3,0,25,"cil"
"D",38,881.3,0,25,"cil"
"A",39,911.8,0,25,"cil"
"A",39,911.8,0,25,"cil"
"A",39,911.8,0,25,"cil"
"B",39,911.8,0,25,"cil"
"B",39,911.8,0,25,"cil"
"B",39,911.8,0,25,"cil"
"B",39,911.8,0,25,"cil"
"C",39,911.8,0,25,"cil"
"C",39,911.8,0,25,"cil"
"C",39,911.8,0,25,"cil"
"C",39,911.8,0,25,"cil"
"C",39,911.8,0,25,"cil"
"D",39,911.8,0,25,"cil"
"D",39,911.8,0,25,"cil"
"D",39,911.8,0,25,"cil"
"D",39,911.8,0,25,"cil"
"D",39,911.8,0,25,"cil"
"D",39,911.8,0,25,"cil"
"A",40,930.8,0,25,"cil"
"A",40,930.8,0,25,"cil"
"A",40,930.8,0,25,"cil"
"B",40,930.8,0,25,"cil"
"B",40,930.8,0,25,"cil"
"B",40,930.8,0,25,"cil"
"C",40,930.8,0,25,"cil"
"C",40,930.8,0,25,"cil"
"C",40,930.8,0,25,"cil"
"C",40,930.8,0,25,"cil"
"D",40,930.8,0,25,"cil"
"D",40,930.8,0,25,"cil"
"D",40,930.8,0,25,"cil"
"D",40,930.8,0,25,"cil"
"D",40,930.8,0,25,"cil"
"D",40,930.8,0,25,"cil"
"A",41,957.3,0,25,"cil"
"A",41,957.3,0,25,"cil"
"A",41,957.3,0,25,"cil"
"B",41,957.3,0,25,"cil"
"B",41,957.3,0,25,"cil"
"B",41,957.3,0,25,"cil"
"C",41,957.3,0,25,"cil"
"C",41,957.3,0,25,"cil"
"C",41,957.3,0,25,"cil"
"C",41,957.3,0,25,"cil"
"C",41,957.3,0,25,"cil"
"C",41,957.3,0,25,"cil"
"D",41,957.3,0,25,"cil"
"D",41,957.3,0,25,"cil"
"D",41,957.3,0,25,"cil"
"D",41,957.3,0,25,"cil"
"D",41,957.3,0,25,"cil"
"D",41,957.3,0,25,"cil"
"A",42,976.3,0,25,"cil"
"A",42,976.3,0,25,"cil"
"A",42,976.3,0,25,"cil"
"B",42,976.3,0,25,"cil"
"B",42,976.3,0,25,"cil"
"C",42,976.3,0,25,"cil"
"C",42,976.3,0,25,"cil"
"C",42,976.3,0,25,"cil"
"C",42,976.3,0,25,"cil"
"C",42,976.3,0,25,"cil"
"D",42,976.3,0,25,"cil"
"D",42,976.3,0,25,"cil"
"D",42,976.3,0,25,"cil"
"D",42,976.3,0,25,"cil"
"D",42,976.3,0,25,"cil"
"D",42,976.3,0,25,"cil"
"A",43,995.3,0,25,"cil"
"A",43,995.3,0,25,"cil"
"A",43,995.3,0,25,"cil"
"B",43,995.3,0,25,"cil"
"B",43,995.3,0,25,"cil"
"B",43,995.3,0,25,"cil"
"C",43,995.3,0,25,"cil"
"C",43,995.3,0,25,"cil"
"C",43,995.3,0,25,"cil"
"C",43,995.3,0,25,"cil"
"C",43,995.3,0,25,"cil"
"D",43,995.3,0,25,"cil"
"D",43,995.3,0,25,"cil"
"D",43,995.3,0,25,"cil"
"D",43,995.3,0,25,"cil"
"D",43,995.3,0,25,"cil"
"D",43,995.3,0,25,"cil"
"A",44,1020.8,0,25,"cil"
"A",44,1020.8,0,25,"cil"
"A",44,1020.8,0,25,"cil"
"B",44,1020.8,0,25,"cil"
"C",44,1020.8,0,25,"cil"
"C",44,1020.8,0,25,"cil"
"C",44,1020.8,0,25,"cil"
"C",44,1020.8,0,25,"cil"
"C",44,1020.8,0,25,"cil"
"D",44,1020.8,0,25,"cil"
"D",44,1020.8,0,25,"cil"
"D",44,1020.8,0,25,"cil"
"D",44,1020.8,0,25,"cil"
"D",44,1020.8,0,25,"cil"
"D",44,1020.8,0,25,"cil"
"A",45,1048.8,0,25,"cil"
"A",45,1048.8,0,25,"cil"
"A",45,1048.8,0,25,"cil"
"B",45,1048.8,0,25,"cil"
"B",45,1048.8,0,25,"cil"
"C",45,1048.8,0,25,"cil"
"C",45,1048.8,0,25,"cil"
"C",45,1048.8,0,25,"cil"
"C",45,1048.8,0,25,"cil"
"C",45,1048.8,0,25,"cil"
"D",45,1048.8,0,25,"cil"
"D",45,1048.8,0,25,"cil"
"D",45,1048.8,0,25,"cil"
"D",45,1048.8,0,25,"cil"
"D",45,1048.8,0,25,"cil"
"D",45,1048.8,0,25,"cil"
"A",46,1068.4,0,25,"cil"
"A",46,1068.4,0,25,"cil"
"A",46,1068.4,0,25,"cil"
"B",46,1068.4,0,25,"cil"
"B",46,1068.4,0,25,"cil"
"B",46,1068.4,0,25,"cil"
"C",46,1068.4,0,25,"cil"
"C",46,1068.4,0,25,"cil"
"C",46,1068.4,0,25,"cil"
"C",46,1068.4,0,25,"cil"
"C",46,1068.4,0,25,"cil"
"C",46,1068.4,0,25,"cil"
"D",46,1068.4,0,25,"cil"
"D",46,1068.4,0,25,"cil"
"D",46,1068.4,0,25,"cil"
"D",46,1068.4,0,25,"cil"
"D",46,1068.4,0,25,"cil"
"D",46,1068.4,0,25,"cil"
"A",47,1093.8,0,25,"cil"
"A",47,1093.8,0,25,"cil"
"A",47,1093.8,0,25,"cil"
"B",47,1093.8,0,25,"cil"
"B",47,1093.8,0,25,"cil"
"B",47,1093.8,0,25,"cil"
"B",47,1093.8,0,25,"cil"
"B",47,1093.8,0,25,"cil"
"C",47,1093.8,0,25,"cil"
"C",47,1093.8,0,25,"cil"
"C",47,1093.8,0,25,"cil"
"C",47,1093.8,0,25,"cil"
"C",47,1093.8,0,25,"cil"
"C",47,1093.8,0,25,"cil"
"D",47,1093.8,0,25,"cil"
"D",47,1093.8,0,25,"cil"
"D",47,1093.8,0,25,"cil"
"D",47,1093.8,0,25,"cil"
"D",47,1093.8,0,25,"cil"
"D",47,1093.8,0,25,"cil"
"A",48,1117.3,0,25,"cil"
"A",48,1117.3,0,25,"cil"
"A",48,1117.3,0,25,"cil"
"B",48,1117.3,0,25,"cil"
"B",48,1117.3,0,25,"cil"
"B",48,1117.3,0,25,"cil"
"B",48,1117.3,0,25,"cil"
"C",48,1117.3,0,25,"cil"
"C",48,1117.3,0,25,"cil"
"C",48,1117.3,0,25,"cil"
"C",48,1117.3,0,25,"cil"
"C",48,1117.3,0,25,"cil"
"D",48,1117.3,0,25,"cil"
"D",48,1117.3,0,25,"cil"
"D",48,1117.3,0,25,"cil"
"D",48,1117.3,0,25,"cil"
"D",48,1117.3,0,25,"cil"
"D",48,1117.3,0,25,"cil"
"A",49,1144.8,0,25,"cil"
"A",49,1144.8,0,25,"cil"
"A",49,1144.8,0,25,"cil"
"B",49,1144.8,0,25,"cil"
"A",50,1164.8,0,25,"cil"
"A",50,1164.8,0,25,"cil"
"A",50,1164.8,0,25,"cil"
"A",1,0,0,30,"cil"
"A",2,19,0,30,"cil"
"A",2,19,0,30,"cil"
"A",2,19,0,30,"cil"
"C",2,19,0,30,"cil"
"C",2,19,0,30,"cil"
"A",3,43,0,30,"cil"
"A",3,43,0,30,"cil"
"A",3,43,0,30,"cil"
"B",3,43,0,30,"cil"
"B",3,43,0,30,"cil"
"C",3,43,0,30,"cil"
"C",3,43,0,30,"cil"
"C",3,43,0,30,"cil"
"D",3,43,0,30,"cil"
"D",3,43,0,30,"cil"
"A",4,69.5,0,30,"cil"
"A",4,69.5,0,30,"cil"
"A",4,69.5,0,30,"cil"
"B",4,69.5,0,30,"cil"
"B",4,69.5,0,30,"cil"
"B",4,69.5,0,30,"cil"
"B",4,69.5,0,30,"cil"
"B",4,69.5,0,30,"cil"
"C",4,69.5,0,30,"cil"
"C",4,69.5,0,30,"cil"
"C",4,69.5,0,30,"cil"
"D",4,69.5,0,30,"cil"
"D",4,69.5,0,30,"cil"
"D",4,69.5,0,30,"cil"
"D",4,69.5,0,30,"cil"
"D",4,69.5,0,30,"cil"
"A",5,91,0,30,"cil"
"A",5,91,0,30,"cil"
"A",5,91,0,30,"cil"
"B",5,91,0,30,"cil"
"B",5,91,0,30,"cil"
"B",5,91,0,30,"cil"
"B",5,91,0,30,"cil"
"B",5,91,0,30,"cil"
"B",5,91,0,30,"cil"
"C",5,91,0,30,"cil"
"C",5,91,0,30,"cil"
"C",5,91,0,30,"cil"
"C",5,91,0,30,"cil"
"C",5,91,0,30,"cil"
"D",5,91,0,30,"cil"
"D",5,91,0,30,"cil"
"D",5,91,0,30,"cil"
"D",5,91,0,30,"cil"
"D",5,91,0,30,"cil"
"D",5,91,0,30,"cil"
"A",6,115.5,0,30,"cil"
"A",6,115.5,0,30,"cil"
"A",6,115.5,0,30,"cil"
"B",6,115.5,0,30,"cil"
"B",6,115.5,0,30,"cil"
"B",6,115.5,0,30,"cil"
"C",6,115.5,0,30,"cil"
"C",6,115.5,0,30,"cil"
"C",6,115.5,0,30,"cil"
"C",6,115.5,0,30,"cil"
"C",6,115.5,0,30,"cil"
"D",6,115.5,0,30,"cil"
"D",6,115.5,0,30,"cil"
"D",6,115.5,0,30,"cil"
"D",6,115.5,0,30,"cil"
"D",6,115.5,0,30,"cil"
"A",7,137,0,30,"cil"
"A",7,137,0,30,"cil"
"A",7,137,0,30,"cil"
"B",7,137,0,30,"cil"
"B",7,137,0,30,"cil"
"B",7,137,0,30,"cil"
"C",7,137,0,30,"cil"
"C",7,137,0,30,"cil"
"C",7,137,0,30,"cil"
"D",7,137,0,30,"cil"
"D",7,137,0,30,"cil"
"D",7,137,0,30,"cil"
"D",7,137,0,30,"cil"
"D",7,137,0,30,"cil"
"A",8,161.5,0,30,"cil"
"A",8,161.5,0,30,"cil"
"A",8,161.5,0,30,"cil"
"B",8,161.5,0,30,"cil"
"B",8,161.5,0,30,"cil"
"B",8,161.5,0,30,"cil"
"B",8,161.5,0,30,"cil"
"B",8,161.5,0,30,"cil"
"C",8,161.5,0,30,"cil"
"C",8,161.5,0,30,"cil"
"C",8,161.5,0,30,"cil"
"D",8,161.5,0,30,"cil"
"D",8,161.5,0,30,"cil"
"A",9,185,0,30,"cil"
"A",9,185,0,30,"cil"
"A",9,185,0,30,"cil"
"B",9,185,0,30,"cil"
"B",9,185,0,30,"cil"
"B",9,185,0,30,"cil"
"C",9,185,0,30,"cil"
"D",9,185,0,30,"cil"
"A",10,209.25,0,30,"cil"
"A",10,209.25,0,30,"cil"
"A",10,209.25,0,30,"cil"
"B",10,209.25,0,30,"cil"
"B",10,209.25,0,30,"cil"
"C",10,209.25,0,30,"cil"
"C",10,209.25,0,30,"cil"
"C",10,209.25,0,30,"cil"
"D",10,209.25,0,30,"cil"
"A",11,233,0,30,"cil"
"A",11,233,0,30,"cil"
"A",11,233,0,30,"cil"
"B",11,233,0,30,"cil"
"B",11,233,0,30,"cil"
"B",11,233,0,30,"cil"
"B",11,233,0,30,"cil"
"C",11,233,0,30,"cil"
"C",11,233,0,30,"cil"
"D",11,233,0,30,"cil"
"D",11,233,0,30,"cil"
"D",11,233,0,30,"cil"
"A",12,268.5,0,30,"cil"
"A",12,268.5,0,30,"cil"
"A",12,268.5,0,30,"cil"
"B",12,268.5,0,30,"cil"
"B",12,268.5,0,30,"cil"
"B",12,268.5,0,30,"cil"
"B",12,268.5,0,30,"cil"
"B",12,268.5,0,30,"cil"
"C",12,268.5,0,30,"cil"
"D",12,268.5,0,30,"cil"
"D",12,268.5,0,30,"cil"
"D",12,268.5,0,30,"cil"
"D",12,268.5,0,30,"cil"
"A",13,287,0,30,"cil"
"A",13,287,0,30,"cil"
"A",13,287,0,30,"cil"
"B",13,287,0,30,"cil"
"B",13,287,0,30,"cil"
"B",13,287,0,30,"cil"
"B",13,287,0,30,"cil"
"C",13,287,0,30,"cil"
"D",13,287,0,30,"cil"
"D",13,287,0,30,"cil"
"D",13,287,0,30,"cil"
"D",13,287,0,30,"cil"
"D",13,287,0,30,"cil"
"D",13,287,0,30,"cil"
"A",14,304.3,0,30,"cil"
"A",14,304.3,0,30,"cil"
"A",14,304.3,0,30,"cil"
"B",14,304.3,0,30,"cil"
"B",14,304.3,0,30,"cil"
"B",14,304.3,0,30,"cil"
"B",14,304.3,0,30,"cil"
"C",14,304.3,0,30,"cil"
"C",14,304.3,0,30,"cil"
